Rank,Airport,Location,Country,Total_passengers,Rank_change,Percent_change,IATA,ICAO,Year
1,Hartsfield–Jackson Atlanta International Airport,"Atlanta, Georgia",United States,103902992,,0.3,ATL,KATL,2017
2,Beijing Capital International Airport,"Chaoyang-Shunyi, Beijing",China,95786442,,1.5,PEK,ZBAA,2017
3,Dubai International Airport,"Garhoud, Dubai",United Arab Emirates,88242099,,5.5,DXB,OMDB,2017
4,Los Angeles International Airport,"Los Angeles, California",United States,84557968,,4.5,LAX,KLAX,2017
5,O'Hare International Airport,"Chicago, Illinois",United States,79828183,,2.4,ORD,KORD,2017
6,Heathrow Airport,"Hillingdon, London",United Kingdom,78014598,,3.0,LHR,EGLL,2017
7,Tokyo Haneda Airport,"Ōta, Tokyo",Japan,76476251,2.0,4.0,HND,RJTT,2017
8,Hong Kong International Airport,"Chek Lap Kok, Islands, New Territories",China,72665078,,3.4,HKG,VHHH,2017
9,Shanghai Pudong International Airport,"Pudong, Shanghai",China,70001237,,6.1,PVG,ZSPD,2017
10,Charles de Gaulle Airport,"Roissy-en-France, Île-de-France",France,69471442,,5.4,CDG,LFPG,2017
11,Amsterdam Airport Schiphol,"Haarlemmermeer, North Holland",The Netherlands,68515425,1.0,7.7,AMS,EHAM,2017
12,Dallas/Fort Worth International Airport,"Dallas-Fort Worth, Texas",United States,67092194,1.0,2.3,DFW,KDFW,2017
13,Guangzhou Baiyun International Airport,"Baiyun-Huadu, Guangzhou, Guangdong",China,65887473,2.0,10.3,CAN,ZGGG,2017
14,Frankfurt Airport,"Frankfurt, Hesse",Germany,64500386,1.0,6.1,FRA,EDDF,2017
15,Istanbul Atatürk Airport,"Yeşilköy, Istanbul",Turkey,63859785,1.0,5.9,IST,LTBA,2017
16,Indira Gandhi International Airport,Delhi,India,63451503,5.0,14.1,DEL,VIDP,2017
17,Soekarno-Hatta International Airport,"Tangerang, Banten",Indonesia,63015620,5.0,8.3,CGK,WIII,2017
18,Singapore Changi Airport,"Changi, East Region",Singapore,62220000,1.0,6.0,SIN,WSSS,2017
19,Seoul Incheon International Airport,Incheon,Republic of Korea,62157834,,7.5,ICN,RKSI,2017
20,Denver International Airport,"Denver, Colorado",United States,61379396,2.0,5.3,DEN,KDEN,2017
21,Suvarnabhumi Airport,"Bang Phli, Samut Prakan",Thailand,60860557,1.0,8.9,BKK,VTBS,2017
22,John F. Kennedy International Airport,"Queens, New York, New York",United States,59392500,6.0,0.5,JFK,KJFK,2017
23,Kuala Lumpur International Airport,"Sepang, Selangor",Malaysia,58558440,1.0,11.2,KUL,WMKK,2017
24,San Francisco International Airport,"San Mateo County, California",United States,55822129,1.0,5.1,SFO,KSFO,2017
25,Madrid Barajas Airport,"Barajas, Madrid",Spain,53386075,,5.9,MAD,LEMD,2017
26,Chengdu Shuangliu International Airport,"Shuangliu-Wuhou, Chengdu, Sichuan",China,49801693,1.0,8.2,CTU,ZUUU,2017
27,McCarran International Airport,"Las Vegas, Nevada",United States,48566803,1.0,2.3,LAS,KLAS,2017
28,Barcelona–El Prat Airport,Barcelona,Spain,47262826,5.0,7.1,BCN,LEBL,2017
29,Chhatrapati Shivaji Maharaj International Airport,"Mumbai, Maharashtra",India,47204259,,5.7,BOM,VABB,2017
30,Toronto Pearson International Airport,"Mississauga, Ontario",Canada,47054696,2.0,6.2,YYZ,CYYZ,2017
31,Seattle–Tacoma International Airport,"SeaTac, Washington",United States,46934194,3.0,2.6,SEA,KSEA,2017
32,Charlotte Douglas International Airport,"Charlotte, North Carolina",United States,45909899,1.0,3.4,CLT,KCLT,2017
33,London Gatwick Airport,"Crawley, West Sussex",United Kingdom,45561694,2.0,5.3,LGW,EGKK,2017
34,Shenzhen Bao'an International Airport,"Bao'an, Shenzhen, Guangdong",China,45558409,6.0,8.5,SZX,ZGSZ,2017
35,Taiwan Taoyuan International Airport,"Dayuan, Taoyuan",Taiwan,44878703,1.0,6.1,TPE,RCTP,2017
36,Mexico City International Airport,"Venustiano Carranza, Mexico City",Mexico,44732418,8.0,8.0,MEX,MMMX,2017
37,Kunming Changshui International Airport,"Guandu, Kunming, Yunnan",China,44729736,2.0,6.6,KMG,ZPPP,2017
38,Munich Airport,"Freising, Bavaria",Germany,44577241,1.0,5.5,MUC,EDDM,2017
39,Orlando International Airport,"Orlando, Florida",United States,44511265,2.0,6.2,MCO,KMCO,2017
40,Miami International Airport,"Miami-Dade County, Florida",United States,44071313,10.0,1.2,MIA,KMIA,2017
41,Phoenix Sky Harbor International Airport,"Phoenix, Arizona",United States,43921670,7.0,1.2,PHX,KPHX,2017
42,Sydney Kingsford-Smith Airport,"Mascot, Sydney, New South Wales",Australia,43410355,4.0,3.4,SYD,YSSY,2017
43,Newark Liberty International Airport,"Newark, New Jersey",United States,43393499,3.0,7.0,EWR,KEWR,2017
44,Ninoy Aquino International Airport,"Pasay/Parañaque, Metro Manila",Philippines,42022484,3.0,6.2,MNL,RPLL,2017
45,Shanghai Hongqiao International Airport,"Changning-Minhang, Shanghai",China,41884059,,3.5,SHA,ZSSS,2017
46,Xi'an Xianyang International Airport,"Weicheng, Xianyang, Shaanxi",China,41857406,,13.2,XIY,ZLXY,2017
47,"Rome–Fiumicino International Airport ""Leonardo da Vinci""","Rome-Fiumicino, Lazio",Italy,40968756,5.0,1.8,FCO,LIRF,2017
48,George Bush Intercontinental Airport,"Houston, Texas",United States,40696189,5.0,2.2,IAH,KIAH,2017
49,Narita International Airport,"Narita, Chiba",Japan,40631193,1.0,4.2,NRT,RJAA,2017
50,Sheremetyevo International Airport,"Khimki, Moscow Oblast",Russia,40092806,,17.8,SVO,UUEE,2017
1,Hartsfield–Jackson Atlanta International Airport,"Atlanta, Georgia",United States,107394029,,3.3,ATL,KATL,2018
2,Beijing Capital International Airport,"Chaoyang-Shunyi, Beijing",China,100983290,,5.4,PEK,ZBAA,2018
3,Dubai International Airport,"Garhoud, Dubai",United Arab Emirates,89149387,,1.0,DXB,OMDB,2018
4,Los Angeles International Airport,"Los Angeles, California",United States,87534384,1.0,3.5,LAX,KLAX,2018
5,Tokyo Haneda Airport,"Ōta, Tokyo",Japan,86942794,1.0,4.4,HND,RJTT,2018
6,O'Hare International Airport,"Chicago, Illinois",United States,83245472,,4.3,ORD,KORD,2018
7,Heathrow Airport,"Hillingdon, London",United Kingdom,80126320,,2.7,LHR,EGLL,2018
8,Hong Kong International Airport,"Chek Lap Kok, Islands, New Territories",China,74515927,,2.6,HKG,VHHH,2018
9,Shanghai Pudong International Airport,"Pudong, Shanghai",China,74006331,,5.7,PVG,ZSPD,2018
10,Charles de Gaulle Airport,"Roissy-en-France, Île-de-France",France,72229723,,4.0,CDG,LFPG,2018
11,Amsterdam Airport Schiphol,"Haarlemmermeer, North Holland",Netherlands,71053147,,3.7,AMS,EHAM,2018
12,Indira Gandhi International Airport,Delhi,India,69900938,4.0,10.2,DEL,VIDP,2018
13,Guangzhou Baiyun International Airport,"Baiyun-Huadu, Guangzhou, Guangdong",China,69743211,,5.9,CAN,ZGGG,2018
14,Frankfurt Airport,"Frankfurt, Hesse",Germany,69510269,,7.8,FRA,EDDF,2018
15,Dallas/Fort Worth International Airport,"Dallas-Fort Worth, Texas",United States,69112607,3.0,3.0,DFW,KDFW,2018
16,Istanbul Atatürk Airport,"Yeşilköy, Istanbul",Turkey,68360648,1.0,6.6,IST,LTBA,2018
17,Seoul Incheon International Airport,Incheon,South Korea,68350784,2.0,10.0,ICN,RKSI,2018
18,Soekarno–Hatta International Airport,"Tangerang, Banten",Indonesia,65667506,1.0,6.2,CGK,WIII,2018
19,Singapore Changi Airport,"Changi, East Region",Singapore,65628000,1.0,5.5,SIN,WSSS,2018
20,Denver International Airport,"Denver, Colorado",United States,64494613,,5.1,DEN,KDEN,2018
21,Suvarnabhumi Airport,"Bang Phli, Samut Prakan",Thailand,63378923,,4.1,BKK,VTBS,2018
22,John F. Kennedy International Airport,"Queens, New York, New York",United States,61623756,,3.6,JFK,KJFK,2018
23,Kuala Lumpur International Airport,"Sepang, Selangor",Malaysia,60013397,,2.5,KUL,WMKK,2018
24,Madrid Barajas Airport,"Barajas, Madrid",Spain,57862951,1.0,8.4,MAD,LEMD,2018
25,San Francisco International Airport,"San Mateo County, California",United States,57708196,1.0,3.4,SFO,KSFO,2018
26,Chengdu Shuangliu International Airport,"Shuangliu-Wuhou, Chengdu, Sichuan",China,52950529,,6.3,CTU,ZUUU,2018
27,Barcelona–El Prat Airport,Barcelona,Spain,50148228,1.0,6.1,BCN,LEBL,2018
28,Chhatrapati Shivaji Maharaj International Airport,"Mumbai, Maharashtra",India,49876769,1.0,5.7,BOM,VABB,2018
29,McCarran International Airport,"Las Vegas, Nevada",United States,49863090,2.0,2.7,LAS,KLAS,2018
30,Seattle–Tacoma International Airport,"SeaTac, Washington",United States,49849520,1.0,6.2,SEA,KSEA,2018
31,Toronto Pearson International Airport,"Mississauga, Ontario",Canada,49467097,1.0,5.0,YYZ,CYYZ,2018
32,Shenzhen Bao'an International Airport,"Bao'an, Shenzhen, Guangdong",China,49348950,2.0,8.3,SZX,ZGSZ,2018
33,Mexico City International Airport,"Venustiano Carranza, Mexico City",Mexico,47700834,3.0,6.6,MEX,MMMX,2018
34,Orlando International Airport,"Orlando, Florida",United States,47694573,5.0,7.2,MCO,KMCO,2018
35,Kunming Changshui International Airport,"Guandu, Kunming, Yunnan",China,47215986,2.0,5.6,KMG,ZPPP,2018
36,Taiwan Taoyuan International Airport,"Dayuan, Taoyuan",Taiwan,46535180,1.0,3.7,TPE,RCTP,2018
37,Charlotte Douglas International Airport,"Charlotte, North Carolina",United States,46446721,5.0,1.2,CLT,KCLT,2018
38,London Gatwick Airport,"Crawley, West Sussex",United Kingdom,46432630,6.0,1.9,LGW,EGKK,2018
39,Munich Airport,"Freising, Bavaria",Germany,46253623,1.0,3.8,MUC,EDDM,2018
40,Newark Liberty International Airport,"Newark, New Jersey",United States,46065175,3.0,6.6,EWR,KEWR,2018
41,Sheremetyevo International Airport,"Khimki, Moscow Oblast",Russia,45836255,9.0,14.3,SVO,UUEE,2018
42,Miami International Airport,"Miami-Dade County, Florida",United States,45044312,2.0,2.1,MIA,KMIA,2018
43,Phoenix Sky Harbor International Airport,"Phoenix, Arizona",United States,44943686,2.0,2.3,PHX,KPHX,2018
44,Xi'an Xianyang International Airport,"Weicheng, Xianyang, Shaanxi",China,44653927,2.0,6.7,XIY,ZLXY,2018
45,Ninoy Aquino International Airport,"Pasay/Parañaque, Metro Manila",Philippines,44488321,1.0,5.9,MNL,RPLL,2018
46,Sydney Kingsford-Smith Airport,"Mascot, New South Wales",Australia,44475976,4.0,2.5,SYD,YSSY,2018
47,George Bush Intercontinental Airport,"Houston, Texas",United States,43807539,1.0,7.7,IAH,KIAH,2018
48,Shanghai Hongqiao International Airport,"Changning-Minhang, Shanghai",China,43628004,3.0,4.2,SHA,ZSSS,2018
49,"Rome–Fiumicino International Airport ""Leonardo da Vinci""","Rome-Fiumicino, Lazio",Italy,42991056,2.0,4.9,FCO,LIRF,2018
50,Narita International Airport,"Narita, Chiba",Japan,42549173,1.0,4.7,NRT,RJAA,2018
1,Hartsfield–Jackson Atlanta International Airport,"Atlanta, Georgia",United States,110531300,,2.9,ATL,KATL,2019
2,Beijing Capital International Airport,"Chaoyang-Shunyi, Beijing",China,100011438,,1.0,PEK,ZBAA,2019
3,Los Angeles International Airport,"Los Angeles, California",United States,88068013,1.0,0.6,LAX,KLAX,2019
4,Dubai International Airport,"Garhoud, Dubai",United Arab Emirates,86396757,1.0,3.1,DXB,OMDB,2019
5,Tokyo Haneda Airport,"Ōta, Tokyo",Japan,85505054,,1.7,HND,RJTT,2019
6,O'Hare International Airport,"Chicago, Illinois",United States,84649115,,1.7,ORD,KORD,2019
7,Heathrow Airport,"Hillingdon, London",United Kingdom,80888305,,1.0,LHR,EGLL,2019
8,Shanghai Pudong International Airport,"Pudong, Shanghai",China,76153455,1.0,2.9,PVG,ZSPD,2019
9,Charles de Gaulle Airport,"Roissy-en-France, Île-de-France",France,76150009,1.0,5.4,CDG,LFPG,2019
10,Dallas/Fort Worth International Airport,"Dallas-Fort Worth, Texas",United States,75066956,5.0,8.6,DFW,KDFW,2019
11,Guangzhou Baiyun International Airport,"Baiyun-Huadu, Guangzhou, Guangdong",China,73386153,2.0,5.2,CAN,ZGGG,2019
12,Amsterdam Airport Schiphol,"Haarlemmermeer, North Holland",Netherlands,71706999,1.0,0.9,AMS,EHAM,2019
13,Hong Kong International Airport,"Chek Lap Kok, New Territories",Hong Kong,71415245,5.0,4.2,HKG,VHHH,2019
14,Seoul Incheon International Airport,Incheon,South Korea,71204153,3.0,4.2,ICN,RKSI,2019
15,Frankfurt Airport,"Frankfurt, Hesse",Germany,70556072,1.0,1.5,FRA,EDDF,2019
16,Denver International Airport,"Denver, Colorado",United States,69015703,4.0,7.0,DEN,KDEN,2019
17,Indira Gandhi International Airport,Delhi,India,68490731,5.0,2.0,DEL,VIDP,2019
18,Singapore Changi Airport,"Changi, East Region",Singapore,68283000,1.0,4.0,SIN,WSSS,2019
19,Suvarnabhumi Airport,"Bang Phli, Samut Prakan",Thailand,65421844,2.0,3.2,BKK,VTBS,2019
20,John F. Kennedy International Airport,"Queens, New York, New York",United States,62551072,2.0,1.5,JFK,KJFK,2019
21,Kuala Lumpur International Airport,"Sepang, Selangor",Malaysia,62336469,2.0,3.9,KUL,WMKK,2019
22,Madrid Barajas Airport,"Barajas, Madrid",Spain,61707469,2.0,6.6,MAD,LEMD,2019
23,San Francisco International Airport,"San Mateo County, California",United States,57418574,2.0,0.6,SFO,KSFO,2019
24,Chengdu Shuangliu International Airport,"Shuangliu-Wuhou, Chengdu, Sichuan",China,55858552,2.0,5.5,CTU,ZUUU,2019
25,Soekarno–Hatta International Airport,"Tangerang, Banten",Indonesia,54496625,7.0,17.0,CGK,WIII,2019
26,Shenzhen Bao'an International Airport,"Bao'an, Shenzhen, Guangdong",China,52931925,6.0,7.3,SZX,ZGSZ,2019
27,Barcelona–El Prat Airport,Barcelona,Spain,52663623,,5.0,BCN,LEBL,2019
29,Seattle–Tacoma International Airport,"SeaTac, Washington",United States,51829239,,4.0,SEA,KSEA,2019
30,McCarran International Airport,"Las Vegas, Nevada",United States,51691066,,3.7,LAS,KLAS,2019
31,Orlando International Airport,"Orlando, Florida",United States,50613072,3.0,6.1,MCO,KMCO,2019
32,Toronto Pearson International Airport,"Mississauga, Ontario",Canada,50496804,1.0,2.0,YYZ,CYYZ,2019
33,Mexico City International Airport,"Venustiano Carranza, Mexico City",Mexico,50308049,,5.5,MEX,MMMX,2019
34,Charlotte Douglas International Airport,"Charlotte, North Carolina",United States,50168783,3.0,8.0,CLT,KCLT,2019
35,Sheremetyevo International Airport,"Khimki, Moscow Oblast",Russia,49932752,6.0,8.9,SVO,UUEE,2019
36,Taiwan Taoyuan International Airport,"Dayuan, Taoyuan",Taiwan,48689372,,4.6,TPE,RCTP,2019
37,Kunming Changshui International Airport,"Guandu, Kunming, Yunnan",China,48076238,2.0,2.1,KMG,ZPPP,2019
38,Munich Airport,"Freising, Bavaria",Germany,47941348,,3.7,MUC,EDDM,2019
39,Ninoy Aquino International Airport,"Pasay/Parañaque, Metro Manila",Philippines,47898046,3.0,6.4,MNL,RPLL,2019
40,Xi'an Xianyang International Airport,"Weicheng, Xianyang, Shaanxi",China,47220547,5.0,5.6,XIY,ZLXY,2019
41,Chhatrapati Shivaji Maharaj International Airport,"Mumbai, Maharashtra",India,47055740,13.0,5.7,BOM,VABB,2019
42,London Gatwick Airport,"Crawley, West Sussex",United Kingdom,46576473,3.0,0.3,LGW,EGKK,2019
43,Newark Liberty International Airport,"Newark, New Jersey",United States,46336452,3.0,1.1,EWR,KEWR,2019
44,Phoenix Sky Harbor International Airport,"Phoenix, Arizona",United States,46287790,,3.0,PHX,KPHX,2019
45,Miami International Airport,"Miami-Dade County, Florida",United States,45924466,2.0,2.0,MIA,KMIA,2019
46,Shanghai Hongqiao International Airport,"Changning-Minhang, Shanghai",China,45637882,2.0,4.6,SHA,ZSSS,2019
47,George Bush Intercontinental Airport,"Houston, Texas",United States,44990399,,3.4,IAH,KIAH,2019
48,Chongqing Jiangbei International Airport,"Yubei, Chongqing",China,44786722,,7.7,CKG,ZUCK,2019
49,Sydney Kingsford-Smith Airport,"Mascot, New South Wales",Australia,44446838,3.0,0.1,SYD,YSSY,2019
50,Narita International Airport,"Narita, Chiba",Japan,44340847,,4.2,NRT,RJAA,2019
1,Guangzhou Baiyun International Airport,"Baiyun-Huadu, Guangzhou, Guangdong",China,43767558,10.0,40.4,CAN,ZGGG,2020
2,Hartsfield–Jackson Atlanta International Airport,"Atlanta, Georgia",United States,42918685,1.0,61.2,ATL,KATL,2020
3,Chengdu Shuangliu International Airport,"Shuangliu-Wuhou, Chengdu, Sichuan",China,40741509,21.0,27.1,CTU,ZUUU,2020
4,Dallas Fort Worth International Airport,"Dallas-Fort Worth, Texas",United States,39364990,6.0,47.6,DFW,KDFW,2020
5,Shenzhen Bao'an International Airport,"Bao'an, Shenzhen, Guangdong",China,37916054,21.0,28.4,SZX,ZGSZ,2020
6,Chongqing Jiangbei International Airport,"Yubei, Chongqing",China,34937789,42.0,22.0,CKG,ZUCK,2020
7,Beijing Capital International Airport,"Chaoyang-Shunyi, Beijing",China,34513827,5.0,65.5,PEK,ZBAA,2020
8,Denver International Airport,"Denver, Colorado",United States,33741129,8.0,51.1,DEN,KDEN,2020
9,Kunming Changshui International Airport,"Guandu, Kunming, Yunnan",China,32990805,28.0,31.4,KMG,ZPPP,2020
10,Shanghai Hongqiao International Airport,"Changning-Minhang, Shanghai",China,31165641,36.0,31.7,SHA,ZSSS,2020
11,Xi'an Xianyang International Airport,"Weicheng, Xianyang, Shaanxi",China,31073924,29.0,34.2,XIY,ZLXY,2020
12,Tokyo Haneda Airport,"Ōta, Tokyo",Japan,31055210,7.0,63.7,HND,RJTT,2020
13,O'Hare International Airport,"Chicago, Illinois",United States,30860251,7.0,63.5,ORD,KORD,2020
14,Shanghai Pudong International Airport,"Pudong, Shanghai",China,30476531,6.0,60.0,PVG,ZSPD,2020
15,Los Angeles International Airport,"Los Angeles, California",United States,28779527,12.0,67.3,LAX,KLAX,2020
16,Indira Gandhi International Airport,Delhi,India,28500545,1.0,58.4,DEL,VIDP,2020
17,Hangzhou Xiaoshan International Airport,"Xiaoshan, Hangzhou, Zhejiang",China,28224342,39.0,30.6,HGH,ZSHC,2020
18,Charlotte Douglas International Airport,"Charlotte, North Carolina",United States,27205082,16.0,45.6,CLT,KCLT,2020
19,Dubai International Airport,"Garhoud, Dubai",United Arab Emirates,25836771,15.0,70.1,DXB,OMDB,2020
20,Istanbul Airport,"Arnavutköy, Istanbul",Turkey,23330411,8.0,55.3,IST,LTFM,2020
21,Charles de Gaulle Airport,"Roissy-en-France, Île-de-France",France,22257469,12.0,70.8,CDG,LFPG,2020
22,McCarran International Airport,"Las Vegas, Nevada",United States,22255395,8.0,57.0,LAS,KLAS,2020
23,Heathrow Airport,"Hillingdon, London",United Kingdom,22111469,16.0,72.7,LHR,EGLL,2020
24,Tan Son Nhat International Airport,"Tan Binh, Ho Chi Minh City",Vietnam,22062893,31.0,49.5,SGN,VVTS,2020
25,Mexico City International Airport,"Venustiano Carranza, Mexico City",Mexico,21981711,8.0,56.3,MEX,MMMX,2020
